conclusion,applicability,externalsources,appno,violation,languageisocode,originatingbody,itemid,importance,judgementdate,docname,ecli,scl,nonviolation,doctype,representedby,separateopinion,respondent,rulesofcourt,issue,referencedate,publishedby,doctypebranch,article,rank,extractedappno
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,6800/05;11714/08,P1-1;P1-1-1,ENG,28,001-207119,4,12/01/2021 00:00:00,CASE OF ȘTEFĂNESCU AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0112JUD000680005,,,HEJUD,BEIU D.,FALSE,ROU,,,,,COMMITTEE,P1-1;P1-1-1,4.799493,
Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression),,,40884/07,10;10-1,ENG,26,001-207121,4,12/01/2021 00:00:00,CASE OF KILINÇ v. TURKEY,ECLI:CE:ECHR:2021:0112JUD004088407,,,HEJUD,PAŞA N. ,FALSE,TUR,,,,,COMMITTEE,10;10-1,4.799493,40884/07;46713/10;28114/95;57316/10;40167/06
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Impartial tribunal),,,50104/10;50673/10;50714/10;13078/11;15596/11;8024/12;1404/13;3603/13;7444/13;7452/13,,ENG,7,001-207123,3,12/01/2021 00:00:00,CASE OF SVILENGAĆANIN AND OTHERS v. SERBIA,ECLI:CE:ECHR:2021:0112JUD005010410,"Baka v. Hungary [GC], no. 20261/12, §§ 121 and 165, 23 June 2016;Castillo Algar v. Spain, 28 October 1998, § 45, Reports 1998-VIII;De Cubber v. Belgium, 26 October 1984, §§ 25-26, Series A no. 86;Ferrantelli and Santangelo v. Italy, 7 August 1996, § 58, Reports 1996 III;Kleyn and Others v. the Netherlands [GC], nos. 39343/98 and 3 others, §§ 193-96, ECHR 2003 VI;Kyprianou v. Cyprus [GC], no. 73797/01, § 119, ECHR 2005 XIII;Mežnarić v. Croatia, no. 71615/01, § 36, 15 July 2005;Miller and Others v. the United Kingdom, nos. 45825/99, 45826/99 and 45827/99, 26 October 2004;Morice v. France [GC], no. 29369/10, §§ 74-75, 23 April 2015;Nejdet Şahin and Perihan Şahin v. Turkey [GC], no. 13279/05, §§ 49-58, 20 October 2011;Pérez Arias v. Spain, no. 32978/03, § 25, 28 June 2007;Pescador Valero v. Spain, no. 62435/00, §§ 24-29, ECHR 2003-VII;Piersack v. Belgium, 1 October 1982, § 30(d), Series A no. 53;Procola v. Luxembourg, 28 September 1995, § 45, Series A no. 326;Pullar v. the United Kingdom, 10 June 1996, Reports of Judgments and Decisions 1996-III;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, §§ 114, 124 and 126, 20 March 2018;Rakić and Others v. Serbia, nos. 47460/07 and 29 others, § 44, 5 October 2010;Ramos Nunes de Carvalho e Sá v. Portugal [GC], nos. 55391/13 and 2 others, 6 November 2018;Schwarzkopf and Taussik v. the Czech Republic (dec.), no. 42162/02, 2 December 2008;Sovtransavto Holding v. Ukraine, no. 48553/99, § 75-82, ECHR 2002 VII;Stafford v. the United Kingdom [GC], no. 46295/99, § 78, ECHR 2002-IV;Stanković and Trajković v. Serbia, nos. 37194/08 and 37260/08, § 40-43, 22 December 2015;Vinčić and Others v. Serbia, nos. 44698/06 and 30 others, § 56, 1 December 2009;Wettstein v. Switzerland, no. 33958/96, ECHR 2000-XII",6;6-1,HEJUD,CVETKOVIĆ M.,TRUE,SRB,17,,,,CHAMBER,6;6-1;35;35-3-a,4.799493,50104/10;85/04;231/06;43/94;28/96;44/99;74/99;3/02;37/02;7/05;44/05;35/94;9/96;1/00;54/02;29/78;39/85;45/89;57/89;31/93;125/04;63/01;42/02;27/03;29/04;101/05;46/06;2010/12;37685/10;22768/12;55391/13;73797/01;29369/10;33958/96;45825/99;45826/99;45827/99;71615/01;62435/00;46295/99;20261/12;48553/99;39343/98;13279/05;37194/08;37260/08;30544/96;3669/03;39005/04;21911/03;23530/02;30658/05;24428/03;26977/03;42162/02;38155/02;63252/00;44698/06;20153/04;36815/03;32978/03;47460/07;50673/10;50714/10;13078/11;07/10;15596/11;8024/12;1404/13;3603/13;7444/13;7452/13
Violation of Article 6+6-3-c - Right to a fair trial (Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-c - Defence through legal assistance),,,16896/11,6;6+6-3-c;6-1;6-3-c,ENG,26,001-207124,4,12/01/2021 00:00:00,CASE OF ILISAL v. TURKEY,ECLI:CE:ECHR:2021:0112JUD001689611,,,HEJUD,AYZIT M.,FALSE,TUR,,,,,COMMITTEE,6;6+6-3-c;6-1;6-3-c,4.799493,16896/11;25253/08;21980/04;75460/10;27422/05;39182/08;2082/05;24744/03;46661/09;22744/07
Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression),,,40631/11,10;10-1,ENG,26,001-207125,4,12/01/2021 00:00:00,CASE OF ADIR AND OTHERS v. TURKEY,ECLI:CE:ECHR:2021:0112JUD004063111,,,HEJUD,AYDIN GÖKTAŞ O.,FALSE,TUR,,,,,COMMITTEE,10;10-1,4.799493,40631/11;26682/95;23168/94;50171/09;39706/98;5684/02;43924/98;39464/98;3752/11;36226/11;30733/08
No violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect);No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);No violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Right to a fair trial;Criminal proceedings;Article 6-1 - Fair hearing),,,75614/14,,ENG,7,001-207129,3,12/01/2021 00:00:00,CASE OF VICTOR LAURENȚIU MARIN v. ROMANIA,ECLI:CE:ECHR:2021:0112JUD007561414,"Gross v. Switzerland [GC], no. 67810/10, §§ 34-35, ECHR 2014;Nicolae Virgiliu Tănase v. Romania [GC], no. 41720/13, 25 June 2019;Sürmeli v. Germany [GC], no. 75529/01, § 131, ECHR 2006-VII",2;2-1;6;6-1;13;13+6-1,HEJUD,TANASESCU M.A.,FALSE,ROU,,Code of Criminal Procedure ,,,CHAMBER,2;2-1;6;6-1;13;13+6-1,4.799493,75614/14;41720/13;67810/10;75529/01;35376/97;19867/12;7942/05;24838/05;24221/13;23083/05;35289/11;55391/13;66847/12;47287/99;37685/10;22768/12;42219/07;69264/01;45291/06;74181/01;29549/04;33771/02
Remainder inadmissible (Art. 35) Admissibility criteria;No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life),55,Council of Europe Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data (“the Data Protection Convention”),36345/16,,ENG,7,001-207132,3,12/01/2021 00:00:00,CASE OF L.B. v. HUNGARY,ECLI:CE:ECHR:2021:0112JUD003634516,"A.-M.V. v. Finland, no. 53251/13, § 82, 23 March 2017;Alkaya v. Turkey, no. 42811/06, 9 October 2012;Amann v. Switzerland [GC], no. 27798/95, § 65, ECHR 2000 II;Animal Defenders International v. the United Kingdom [GC], no. 48876/08, § 110, ECHR 2013 (extracts);Axel Springer AG v. Germany [GC], no. 39954/08, § 83, 7 February 2012;Delfi AS v. Estonia [GC], no. 64569/09, § 117, ECHR 2015;Dickson v. the United Kingdom [GC], no. 44362/04, § 78, ECHR 2007 V;Dubská and Krejzová v. the Czech Republic [GC], nos. 28859/11 and 28473/12, § 179, 15 November 2016;Egill Einarsson v. Iceland, no. 24703/15, § 46, 7 November 2017;G.S.B. v. Switzerland, no. 28601/11, § 90, 22 December 2015;James and Others v. the United Kingdom, 21 February 1986, § 36, Series A no. 98;Leander v. Sweden, 26 March 1987, § 48, Series A no. 116;Lundvall v. Sweden, no. 10473/83, Commission decision of 1 December 1985, Decisions and Reports (DR) 45, p. 131;M.L. and W.W. v. Germany, nos. 60798/10 and 65599/10, § 104, 28 June 2018;Magyar Helsinki Bizottság v. Hungary [GC], no. 18030/11, § 194, 8 November 2016;Niemietz v. Germany, 16 December 1992, § 29, Series A no. 251 B;P.G. and J.H. v. the United Kingdom, no. 44787/98, § 57, ECHR 2001 IX;Polyakh and Others v. Ukraine, nos. 58812/15 and 4 others, § 293, 17 October 2019;Rotaru v. Romania [GC], no. 28341/95, § 46, ECHR 2000 V;S. and Marper v. the United Kingdom [GC], nos. 30562/04 and 30566/04, ECHR 2008;S.H. and Others v. Austria [GC], no. 57813/00, ECHR 2011).;Šantare and Labazņikovs v. Latvia, no. 34148/07, § 52, 31 March 2016;Satakunnan Markkinapörssi Oy and Satamedia Oy v. Finland [GC], no. 931/13, §§ 136-37, 27 June 2017;Savva Terentyev v. Russia, no. 10692/09, § 79, 28 August 2018;Smirnova v. Russia, nos. 46133/99 and 48183/99, § 95, ECHR 2003 IX (extracts);Stec and Others v. the United Kingdom [GC], nos. 65731/01 and 65900/01, § 52, ECHR 2006 VI;Tiba v. Romania, no. 36188/09, § 21, 13 December 2016;Vallianatos and Others v. Greece [GC], nos. 29381/09 and 32684/09, § 94, ECHR 2013 (extracts);Von Hannover v. Germany (no. 2) [GC], nos. 40660/08 and 60641/08, § 110, ECHR 2012;Vukota-Bojić v. Switzerland, no. 61838/10, § 52, 18 October 2016",8;8-1,HEJUD,KISS D.B.,TRUE,HUN,,Section 55(3) and (5) of the Tax Administration Act ; Act CVII of 2011 on the right to informational self-determination of freedom and information (“the Data Protection Act”),,,CHAMBER,8;8-1;8-2;35,4.799493,36345/16;931/13;27798/95;30562/04;30566/04;61838/10;46133/99;48183/99;39954/08;44787/98;10473/83;42811/06;36188/09;28341/95;34148/07;53251/13;48876/08;58812/15;28859/11;28473/12;65731/01;65900/01;44362/04;57813/00;28601/11;18030/11;40660/08;60641/08;24703/15;60798/10;65599/10;10692/09;64569/09;29381/09;32684/09
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Impartial tribunal),,,48314/18,6;6-1,ENG,26,001-207133,4,12/01/2021 00:00:00,CASE OF KAMINSKIENĖ v. LITHUANIA,ECLI:CE:ECHR:2021:0112JUD004831418,,,HEJUD,MEŠKAUSKIENĖ L.,FALSE,LTU,,,,,COMMITTEE,6;6-1,4.799493,48314/18;17153/11;63246/10;23532/14;5734/14;55391/13;29369/10;63151/00;16812/17;48781/12;5856/13;32953/13
No violation of Article 8 - Right to respect for private and family life (Article 8 - Expulsion;Article 8-1 - Respect for private life),,,56803/18,,ENG,5,001-207134,4,12/01/2021 00:00:00,CASE OF MUNIR JOHANA v. DENMARK,ECLI:CE:ECHR:2021:0112JUD005680318,,8;8-1,HEJUD,DYRN G.,FALSE,DNK,,,,,CHAMBER,8;8-1,4.799493,56803/18;1638/03;12738/10;22689/07;54273/00;48321/99;2346/02;53176/99;53080/07;31519/96;46410/99;77036/11;7841/14;16711/15;52873/09;72780/12;10606/07;41215/14;25748/15;52853/99;42703/98;32231/02;30441/09;40660/08;60641/08;39954/08
No violation of Article 8 - Right to respect for private and family life (Article 8 - Expulsion;Article 8-1 - Respect for private life),,,26957/19,,ENG,5,001-207136,4,12/01/2021 00:00:00,CASE OF KHAN v. DENMARK,ECLI:CE:ECHR:2021:0112JUD002695719,,8;8-1,HEJUD,JUUL ERIKSEN M.,TRUE,DNK,,,,,CHAMBER,8;8-1,4.799493,26957/19;1638/02;53080/07;12738/10;22689/07;54273/00;48321/99;2346/02;53176/99;31519/96;46410/99;1638/03;77036/11;7841/14;16711/15;52873/09;72780/12;52853/99;42703/98;32231/02;30441/09;25748/15;41215/14;40660/08;60641/08;39954/08;60125/11;16643/09;35424/05;8675/15;8697/15
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,19649/20,P1-1;P1-1-1,ENG,29,001-207351,4,14/01/2021 00:00:00,CASE OF SHAVUK v. UKRAINE,ECLI:CE:ECHR:2021:0114JUD001964920,,,HEJUD,KOLOTNYUK Y.,FALSE,UKR,,,,,COMMITTEE,P1-1;P1-1-1,4.799493,19649/20;35014/97;846/16;1075/16
Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect);Violation of Article 13+3 - Right to an effective remedy (Article 13 - Effective remedy) (Article 3 - Degrading treatment;Prohibition of torture),,,40059/19,3;13;13+3,ENG,29,001-207352,4,14/01/2021 00:00:00,CASE OF YOLKIN v. UKRAINE,ECLI:CE:ECHR:2021:0114JUD004005919,,,HEJUD,,FALSE,UKR,,,,,COMMITTEE,3;13;13+3,4.799493,40059/19;7334/13;42525/07;60800/08;72286/01;44436/09
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing),,,39466/16,6;6-1,ENG,29,001-207356,4,14/01/2021 00:00:00,CASE OF IBRAHIMOV v. AZERBAIJAN,ECLI:CE:ECHR:2021:0114JUD003946616,,,HEJUD,IMANOV Y.,FALSE,AZE,,,,,COMMITTEE,6;6-1,4.799493,39466/16;60259/11;69234/11;67360/11;42310/04;76236/11;44699/13;12854/13;66917/11
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing),,,30608/14,6;6-1,ENG,29,001-207358,4,14/01/2021 00:00:00,CASE OF SAVALANLI v. AZERBAIJAN,ECLI:CE:ECHR:2021:0114JUD003060814,,,HEJUD,MUSTAFAZADE R.,FALSE,AZE,,,,,COMMITTEE,6;6-1,4.799493,30608/14;60259/11;44699/13;12854/13;66917/11;69234/11;67360/11;42310/04;76236/11
Violation of Article 14+3 - Prohibition of discrimination (Article 14 - Discrimination) (Article 3 - Prohibition of torture;Effective investigation);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),20,,50231/13,3;14;14+3,ENG,4,001-207360,1,14/01/2021 00:00:00,CASE OF SABALIĆ v. CROATIA,ECLI:CE:ECHR:2021:0114JUD005023113,"A and B v. Norway [GC], nos. 24130/11 and 29758/11, 15 November 2016;Abdu v. Bulgaria, no. 26827/08, 11 March 2014;Aleksandr Nikonenko v. Ukraine, no. 54755/08, § 45, 14 November 2013;Ali and Ayşe Duran v. Turkey, no. 42942/02, §§ 61-62, 8 April 2008;Amadayev v. Russia, no. 18114/06, § 81, 3 July 2014;Angelova and Iliev v. Bulgaria, no. 55523/00, § 116, 26 July 2007;Armani Da Silva v. the United Kingdom [GC], no. 5878/08, § 285, 30 March 2016;Atalay v. Turkey, no. 1249/03, § 44, 18 September 2008;B.S. v. Spain, no. 47159/08, §§ 40 and 59-61, 24 July 2012;Bajić v. Croatia, no. 41108/10, §§ 68-69, 13 November 2012;Balázs v. Hungary, no. 15529/12, §§ 56-57 and 70, 20 October 2015;Beganović v. Croatia, no. 46423/06, 25 June 2009;Begheluri v. Georgia, no. 28490/02, §§ 101 and 176-177, 7 October 2014;Bouyid v. Belgium [GC], no. 23380/09, §§ 86-87, ECHR 2015;Ceachir v. the Republic of Moldova, no. 50115/06, § 54, 10 December 2013;Cobzaru v. Romania, no. 48254/99, § 96, 26 July 2007;Cyprus v. Turkey [GC], no. 25781/94, §§ 305-311, ECHR 2001 IV;Darraj v. France, no. 34588/07, §§ 48-49, 4 November 2010;Derman v. Turkey, no. 21789/02, § 28, 31 May 2011;Dimitar Shopov v. Bulgaria, no. 17253/07, § 52, 16 April 2013;Gäfgen v. Germany [GC], no. 22978/05, § 123, ECHR 2010;İbrahim Demirtaş v. Turkey, no. 25018/10, §§ 34-35, 28 October 2014;Identoba and Others v. Georgia, no. 73235/12, 12 May 2015;Koky and Others v. Slovakia, no. 13624/03, § 239, 12 June 2012;Kopylov v. Russia, no. 3933/04, § 141, 29 July 2010;Kušić and Others v. Croatia (dec.), no. 71667/17, §§ 86-87 and 108, 10 December 2019;Lakatošová and Lakatoš v. Slovakia, no. 655/16, § 96, 11 December 2018;M.C. and A.C. v. Romania, no. 12060/12, §§ 108-115 and 123-125, 12 April 2016;M.N. v. Bulgaria, no. 3832/06, § 46, 27 November 2012;Makhashevy v. Russia, no. 20546/07, § 146, 31 July 2012;Marguš v. Croatia [GC], no. 4455/10, §§ 124-141, ECHR 2014 (extracts);Mihalache v. Romania [GC], no. 54012/10, §§ 129 and 133, 8 July 2019;Milanović v. Serbia, no. 44614/07, §§ 87, 99 and 100, 14 December 2010;Mityaginy v. Russia, no. 20325/06, § 49, 4 December 2012;Modrić v. Croatia (dec.), no. 21609/06, 4 June 2009;Moldovan and Others v. Romania (no. 2), nos. 41138/98 and 64320/01, §§ 111 and 113, ECHR 2005 VII (extracts);Muta v. Ukraine, no. 37246/06, § 63, 31 July 2012;Myumyun v. Bulgaria, no. 67258/13, § 75, 3 November 2015;Nachova and Others v. Bulgaria [GC], nos. 43577/98 and 43579/98, § 160, ECHR 2005 VII;Öneryıldız v. Turkey [GC], no. 48939/99, § 116, ECHR 2004 XII;Pavlović and Others v. Croatia, no. 13274/11, §§ 32-38, 2 April 2015;Pulfer v. Albania, no. 31959/13, § 88 in fine, 20 November 2018;Remetin v. Croatia, no. 29525/10, §§ 74, 83-84 and 99, 11 December 2012;S.M. v. Croatia [GC], no. 60561/14, §§ 311-320, 324 and 333, 25 June 2020;Šečić v. Croatia, no. 40116/02, §§ 61 and 68-69, 31 May 2007;Sergey Zolotukhin v. Russia [GC], no. 14939/03, ECHR 2009;Škorjanec v. Croatia, no. 25536/14, 28 March 2017;Smith and Grady v. the United Kingdom, nos. 33985/96 and 33986/96, § 121, ECHR 1999 VI;Taşdemir v. Turkey (dec.), no. 52538/09, 12 March 2019;Turan Cakir v. Belgium, no. 44256/06, § 80, 10 March 2009;Valiulienė v. Lithuania, no. 33234/07, § 85, 26 March 2013;Virabyan v. Armenia, no. 40094/05, § 224, 2 October 2012;Zontul v. Greece, no. 12294/07, §§ 106-109, 17 January 2012",,HEJUD,BANDALO A. ; LABAVIĆ N. ,TRUE,HRV,,Article 89 (36) of the 1997 Criminal Code ,,,CHAMBER,3;14;14+3;41;P7-4,4.799493,50231/13;23682/13;55759/07;71667/17;19/41;29/23;364/01;12060/12;23380/09;25781/94;33985/96;33986/96;41138/98;64320/01;28490/02;47159/08;26827/08;73235/12;15529/12;46423/06;44614/07;20325/06;25536/14;29525/10;21609/06;41108/10;13274/11;14939/03;24130/11;29758/11;43577/98;43579/98;13624/03;18114/06;60561/14;42942/02;5878/08;40116/02;48254/99;20546/07;40094/05;655/16;44256/06;37246/06;3832/06;33234/07;17253/07;54755/08;50115/06;25018/10;1249/03;3933/04;34588/07;21789/02;12294/07;67258/13;54012/10;52538/09;4455/10;55523/00;48939/99;22978/05;31959/13;22251/08;20086/13;7144/15;18312/12
Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life),,,50705/13,8;8-1,ENG,29,001-207361,4,14/01/2021 00:00:00,CASE OF DEDESH v. UKRAINE,ECLI:CE:ECHR:2021:0114JUD005070513,,,HEJUD,TARAKHKALO M.,FALSE,UKR,,,,,COMMITTEE,8;8-1,4.799493,50705/13;17153/11;11138/10;36760/06;3455/05;35807/05;71409/10;57980/11;14129/11;24037/08;47143/06;10593/08;47848/08
Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life),,,59648/13,8;8-1,ENG,4,001-207362,4,14/01/2021 00:00:00,CASE OF VIG v. HUNGARY,ECLI:CE:ECHR:2021:0114JUD005964813,,,HEJUD,FAZEKAS T.,FALSE,HUN,,,,,CHAMBER,8;8-1,4.799493,59648/13;17153/11;31333/06;2334/03;4158/05;50963/99;39692/09;28940/95
